nom,SIREN,COG,type
Guadeloupe,239710015,01,REG
Martinique,200055507,02,CTU
Guyane,200052678,03,CTU
La Réunion,239740012,04,REG
Île-de-France,237500079,11,REG
Centre-Val de Loire,234500023,24,REG
Bourgogne-Franche-Comté,200053726,27,REG
Normandie,200053403,28,REG
Hauts-de-France,200053742,32,REG
Grand Est,200052264,44,REG
Pays de la Loire,234400034,52,REG
Bretagne,233500016,53,REG
Nouvelle-Aquitaine,200053759,75,REG
Occitanie,200053791,76,REG
Auvergne-Rhône-Alpes,200053767,84,REG
Provence-Alpes-Côte d'Azur,231300021,93,REG
Corse,200076958,94,CTU
